"ANO","MES","ANO_MES","TUR_MENSUAL","TUR_ACUMULADO","VAR_INTERANUAL_TUR","VAR_INTERANUAL_ACUMULADO_TUR"
1984,4,"Apr 1984",31864,142477,0.30078,0.25116
1984,5,"May 1984",22923,165400,-0.10495,0.18577
1984,6,"Jun 1984",31532,196932,-0.02468,0.14617
1984,7,"Jul 1984",47060,243992,0.03372,0.12262
1984,8,"Aug 1984",37278,281270,0.15537,0.12685
1984,9,"Sep 1984",24806,306076,-0.03808,0.11141
1984,10,"Oct 1984",25186,331262,-0.01002,0.10114
1984,11,"Nov 1984",32622,363884,0.14407,0.10486
1984,12,"Dec 1984",49401,413285,0.1887,0.11425
1985,1,"Jan 1985",44697,44697,0.21717,0.21717
1985,2,"Feb 1985",42221,86918,0.16343,0.19046
1985,3,"Mar 1985",46072,132990,0.22529,0.2023
1985,4,"Apr 1985",35251,168241,0.1063,0.18083
1985,5,"May 1985",31763,200004,0.38564,0.20921
1985,6,"Jun 1985",40115,240119,0.2722,0.2193
1985,7,"Jul 1985",56675,296794,0.20431,0.21641
1985,8,"Aug 1985",47518,344312,0.27469,0.22413
1985,9,"Sep 1985",28426,372738,0.14593,0.2178
1985,10,"Oct 1985",27303,400041,0.08405,0.20763
1985,11,"Nov 1985",38177,438218,0.17028,0.20428
1985,12,"Dec 1985",59062,497280,0.19556,0.20324
1986,1,"Jan 1986",49564,49564,0.10889,0.10889
1986,2,"Feb 1986",47660,97224,0.12882,0.11857
1986,3,"Mar 1986",52440,149664,0.13822,0.12538
1986,4,"Apr 1986",38073,187737,0.08005,0.11588
1986,5,"May 1986",30639,218376,-0.03539,0.09186
1986,6,"Jun 1986",46197,264573,0.15161,0.10184
1986,7,"Jul 1986",60063,324636,0.05978,0.09381
1986,8,"Aug 1986",53265,377901,0.12094,0.09755
1986,9,"Sep 1986",30091,407992,0.05857,0.09458
1986,10,"Oct 1986",34235,442227,0.25389,0.10545
1986,11,"Nov 1986",43181,485408,0.13107,0.10769
1986,12,"Dec 1986",69941,555349,0.1842,0.11677
1987,1,"Jan 1987",59027,59027,0.19093,0.19093
1987,2,"Feb 1987",56760,115787,0.19093,0.19093
1987,3,"Mar 1987",62452,178239,0.19093,0.19093
1987,4,"Apr 1987",45342,223581,0.19093,0.19093
1987,5,"May 1987",36489,260070,0.19093,0.19093
1987,6,"Jun 1987",55017,315087,0.19093,0.19093
1987,7,"Jul 1987",71531,386618,0.19093,0.19093
1987,8,"Aug 1987",63435,450052,0.19093,0.19093
1987,9,"Sep 1987",35836,485889,0.19093,0.19093
1987,10,"Oct 1987",40771,526660,0.19093,0.19093
1987,11,"Nov 1987",51425,578085,0.19093,0.19093
1987,12,"Dec 1987",83295,661380,0.19093,0.19093
1988,1,"Jan 1988",74586,74586,0.26359,0.26359
1988,2,"Feb 1988",71721,146307,0.26359,0.26359
1988,3,"Mar 1988",78914,225221,0.26359,0.26359
1988,4,"Apr 1988",57294,282515,0.26359,0.26359
1988,5,"May 1988",46107,328622,0.26359,0.26359
1988,6,"Jun 1988",69519,398141,0.26359,0.26359
1988,7,"Jul 1988",90385,488527,0.26359,0.26359
1988,8,"Aug 1988",80156,568682,0.26359,0.26359
1988,9,"Sep 1988",45282,613965,0.26359,0.26359
1988,10,"Oct 1988",51518,665483,0.26359,0.26359
1988,11,"Nov 1988",64981,730464,0.26359,0.26359
1988,12,"Dec 1988",105250,835714,0.26359,0.26359
1989,1,"Jan 1989",85508,85508,0.14643,0.14643
1989,2,"Feb 1989",80908,166416,0.1281,0.13744
1989,3,"Mar 1989",80565,246981,0.02092,0.09662
1989,4,"Apr 1989",61226,308207,0.06863,0.09094
1989,5,"May 1989",50966,359173,0.10539,0.09297
1989,6,"Jun 1989",69297,428470,-0.0032,0.07618
1989,7,"Jul 1989",98476,526946,0.08951,0.07864
1989,8,"Aug 1989",83113,610059,0.0369,0.07276
1989,9,"Sep 1989",54830,664889,0.21085,0.08294
1989,10,"Oct 1989",64599,729488,0.2539,0.09618
1989,11,"Nov 1989",78515,808003,0.20828,0.10615
1989,12,"Dec 1989",96619,904622,-0.08201,0.08245
1990,1,"Jan 1990",89149,89149,0.04258,0.04258
1990,2,"Feb 1990",85390,174539,0.0554,0.04881
1990,3,"Mar 1990",82337,256876,0.02199,0.04006
1990,4,"Apr 1990",84254,341130,0.37611,0.10682
1990,5,"May 1990",65098,406228,0.27728,0.13101
1990,6,"Jun 1990",73875,480103,0.06606,0.12051
1990,7,"Jul 1990",101439,581542,0.03009,0.10361
1990,8,"Aug 1990",85633,667175,0.03032,0.09362
1990,9,"Sep 1990",61471,728646,0.12112,0.09589
1990,10,"Oct 1990",66017,794663,0.02195,0.08934
1990,11,"Nov 1990",69254,863917,-0.11795,0.0692
1990,12,"Dec 1990",93947,957864,-0.02766,0.05886
1991,1,"Jan 1991",73110,73110,-0.17991,-0.17991
1991,2,"Feb 1991",62297,135407,-0.27044,-0.2242
1991,3,"Mar 1991",75036,210443,-0.08867,-0.18076
1991,4,"Apr 1991",62424,272867,-0.2591,-0.20011
1991,5,"May 1991",62108,334975,-0.04593,-0.1754
1991,6,"Jun 1991",71013,405988,-0.03874,-0.15437
1991,7,"Jul 1991",92521,498509,-0.08791,-0.14278
1991,8,"Aug 1991",86627,585136,0.01161,-0.12296
1991,9,"Sep 1991",59991,645127,-0.02408,-0.11462
1991,10,"Oct 1991",60214,705341,-0.0879,-0.1124
1991,11,"Nov 1991",61374,766715,-0.11378,-0.11251
1991,12,"Dec 1991",98529,865244,0.04877,-0.09669
1992,1,"Jan 1992",83520,83520,0.14239,0.14239
1992,2,"Feb 1992",84966,168486,0.36389,0.24429
1992,3,"Mar 1992",85996,254482,0.14606,0.20927
1992,4,"Apr 1992",82333,336815,0.31893,0.23436
1992,5,"May 1992",70784,407599,0.13969,0.2168
1992,6,"Jun 1992",79794,487393,0.12365,0.20051
1992,7,"Jul 1992",105253,592646,0.13761,0.18884
1992,8,"Aug 1992",102648,695294,0.18494,0.18826
1992,9,"Sep 1992",78853,774147,0.31441,0.19999
1992,10,"Oct 1992",81733,855880,0.35738,0.21343
1992,11,"Nov 1992",92747,948627,0.51118,0.23726
1992,12,"Dec 1992",121018,1069645,0.22825,0.23624
1993,1,"Jan 1993",112081,112081,0.34197,0.34197
1993,2,"Feb 1993",104509,216590,0.23001,0.28551
1993,3,"Mar 1993",103688,320278,0.20573,0.25855
1993,4,"Apr 1993",93651,413929,0.13747,0.22895
1993,5,"May 1993",93705,507634,0.32382,0.24543
1993,6,"Jun 1993",93722,601356,0.17455,0.23382
1993,7,"Jul 1993",130192,731548,0.23694,0.23438
1993,8,"Aug 1993",114140,845688,0.11196,0.2163
1993,9,"Sep 1993",91747,937435,0.16352,0.21093
1993,10,"Oct 1993",90444,1027879,0.10658,0.20096
1993,11,"Nov 1993",91660,1119539,-0.01172,0.18017
1993,12,"Dec 1993",131456,1250995,0.08625,0.16954
1994,1,"Jan 1994",122869,122869,0.09625,0.09625
1994,2,"Feb 1994",109349,232218,0.04631,0.07215
1994,3,"Mar 1994",115705,347923,0.1159,0.08632
1994,4,"Apr 1994",96095,444018,0.0261,0.07269
1994,5,"May 1994",91760,535778,-0.02076,0.05544
1994,6,"Jun 1994",101188,636966,0.07966,0.05922
1994,7,"Jul 1994",142640,779606,0.09561,0.06569
1994,8,"Aug 1994",118741,898347,0.04031,0.06227
1994,9,"Sep 1994",96664,995011,0.05359,0.06142
1994,10,"Oct 1994",95422,1090433,0.05504,0.06086
1994,11,"Nov 1994",100652,1191085,0.0981,0.06391
1994,12,"Dec 1994",146441,1337526,0.11399,0.06917
1995,1,"Jan 1995",137049,137049,0.11541,0.11541
1995,2,"Feb 1995",124715,261764,0.14052,0.12723
1995,3,"Mar 1995",114420,376184,-0.01111,0.08123
1995,4,"Apr 1995",113857,490041,0.18484,0.10365
1995,5,"May 1995",104229,594270,0.13589,0.10917
1995,6,"Jun 1995",112154,706424,0.10837,0.10905
1995,7,"Jul 1995",155255,861679,0.08844,0.10527
1995,8,"Aug 1995",129619,991298,0.09161,0.10347
1995,9,"Sep 1995",101957,1093255,0.05476,0.09874
1995,10,"Oct 1995",113433,1206688,0.18875,0.10661
1995,11,"Nov 1995",113153,1319841,0.1242,0.1081
1995,12,"Dec 1995",151498,1471339,0.03453,0.10005
1996,1,"Jan 1996",160064,160064,0.16793,0.16793
1996,2,"Feb 1996",147130,307194,0.17973,0.17355
1996,3,"Mar 1996",140370,447564,0.2268,0.18975
1996,4,"Apr 1996",122079,569643,0.07221,0.16244
1996,5,"May 1996",104800,674443,0.00548,0.13491
1996,6,"Jun 1996",118876,793319,0.05994,0.12301
1996,7,"Jul 1996",156478,949797,0.00788,0.10226
1996,8,"Aug 1996",132120,1081917,0.0193,0.09141
1996,9,"Sep 1996",107901,1189818,0.0583,0.08833
1996,10,"Oct 1996",111496,1301314,-0.01708,0.07842
1996,11,"Nov 1996",130815,1432129,0.15609,0.08508
1996,12,"Dec 1996",153894,1586023,0.01582,0.07795
1997,1,"Jan 1997",160873,160873,0.00505,0.00505
1997,2,"Feb 1997",152456,313329,0.0362,0.01997
1997,3,"Mar 1997",163295,476624,0.16332,0.06493
1997,4,"Apr 1997",135939,612563,0.11353,0.07534
1997,5,"May 1997",123057,735620,0.17421,0.09071
1997,6,"Jun 1997",143695,879315,0.20878,0.1084
1997,7,"Jul 1997",178010,1057325,0.1376,0.11321
1997,8,"Aug 1997",161935,1219260,0.22567,0.12694
1997,9,"Sep 1997",134754,1354014,0.24887,0.138
1997,10,"Oct 1997",130549,1484563,0.17089,0.14082
1997,11,"Nov 1997",145374,1629937,0.11129,0.13812
1997,12,"Dec 1997",182338,1812275,0.18483,0.14265
1998,1,"Jan 1998",190127,190127,0.18185,0.18185
1998,2,"Feb 1998",181935,372062,0.19336,0.18745
1998,3,"Mar 1998",184583,556645,0.13037,0.16789
1998,4,"Apr 1998",166921,723566,0.22791,0.18121
1998,5,"May 1998",139398,862964,0.13279,0.17311
1998,6,"Jun 1998",150953,1013917,0.05051,0.15308
