"FECHA","SECTOR_ECONOMICO","DEUDA"
31/5/13,"C - EXPLOTACIÓN DE MINAS Y CANTERAS",2338479952.99
30/6/13,"D - INDUSTRIA MANUFACTURERA",44247888187.07
30/6/13,"E - SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",21476777143.53
31/7/13,"J - ACTIVIDADES FINANCIERAS Y DE SEGURO",12697705844.69
31/8/13,"E - SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",21701084989.47
30/9/13,"A - AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA",18486502991.46
30/9/13,"B - PESCA",84993082.43
31/10/13,"D - INDUSTRIA MANUFACTURERA",41783200539.17
30/11/13,"O - Otras actividades de servicios comunitarios, sociales y personales",19714373423.69
30/11/13,"H - ALOJAMIENTO Y SERVICIOS DE COMIDA",26371265676.11
30/11/13,"N - SERVICIOS SOCIALES Y RELACIONADOS CON LA SALUD HUMANA",3931834330.12
30/11/13,"P - ACTIVIDADES DE LOS HOGARES EN CALIDAD DE EMPLEADORES, ACTIVIDADES INDIFERENCIADAS DE PRODUCCIÓN DE BIENES Y SERVICIOS DE LOS HOGARES PARA USO PROPIO",3554886622.2
30/11/13,"C - EXPLOTACIÓN DE MINAS Y CANTERAS",1653256177.85
30/11/13,"B - PESCA",109024016.91
31/12/13,"I - TRANSPORTE Y ALMACENAMIENTO",11690159751.43
31/12/13,"N - SERVICIOS SOCIALES Y RELACIONADOS CON LA SALUD HUMANA",4023654902.24
31/1/14,"H - ALOJAMIENTO Y SERVICIOS DE COMIDA",28266084734.51
31/1/14,"M - ENSEÑANZA",3329081006.78
28/2/14,"H - ALOJAMIENTO Y SERVICIOS DE COMIDA",26821579064.58
28/2/14,"Q - ACTIVIDADES DE ORGANIZACIONES Y ÓRGANOS EXTRATERRITORIALES",6587334199.66
31/3/14,"Y - CONSUMO DE BIENES Y SERVICIOS",142689281855.29
31/3/14,"P - ACTIVIDADES DE LOS HOGARES EN CALIDAD DE EMPLEADORES, ACTIVIDADES INDIFERENCIADAS DE PRODUCCIÓN DE BIENES Y SERVICIOS DE LOS HOGARES PARA USO PROPIO",3788522669.65
31/3/14,"L - ADMINISTRACIÓN PÚBLICA Y DEFENSA: PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA",97131185089.41
31/3/14,"C - EXPLOTACIÓN DE MINAS Y CANTERAS",1554178419.88
30/4/14,"G - COMERCIO AL POR MAYOR Y AL POR MENOR. REPARACIÓN DE LOS VEHÍCULOS DE MOTOR Y DE LAS MOTOCICLETAS",92639719988.37
30/4/14,"O - Otras actividades de servicios comunitarios, sociales y personales",19136558118.1
30/4/14,"F - CONSTRUCCIÓN",31767712266.86
31/5/14,"N - SERVICIOS SOCIALES Y RELACIONADOS CON LA SALUD HUMANA",4852210964.89
31/5/14,"C - EXPLOTACIÓN DE MINAS Y CANTERAS",1511690126.92
31/7/14,"Y - CONSUMO DE BIENES Y SERVICIOS",153688065017.68
31/8/14,"G - COMERCIO AL POR MAYOR Y AL POR MENOR. REPARACIÓN DE LOS VEHÍCULOS DE MOTOR Y DE LAS MOTOCICLETAS",100666606000.73
31/8/14,"Y - CONSUMO DE BIENES Y SERVICIOS",157243153848.52
31/8/14,"J - ACTIVIDADES FINANCIERAS Y DE SEGURO",25575120805.45
31/8/14,"C - EXPLOTACIÓN DE MINAS Y CANTERAS",1413674072.45
30/9/14,"E - SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",11180465902.65
30/9/14,"L - ADMINISTRACIÓN PÚBLICA Y DEFENSA: PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA",61315256346.42
31/10/14,"L - ADMINISTRACIÓN PÚBLICA Y DEFENSA: PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA",60429938733.1
30/11/14,"G - COMERCIO AL POR MAYOR Y AL POR MENOR. REPARACIÓN DE LOS VEHÍCULOS DE MOTOR Y DE LAS MOTOCICLETAS",105432965113.38
30/11/14,"J - ACTIVIDADES FINANCIERAS Y DE SEGURO",31369298623.3
30/11/14,"E - SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",10177681874.19
31/12/14,"F - CONSTRUCCIÓN",56364650211.95
31/12/14,"L - ADMINISTRACIÓN PÚBLICA Y DEFENSA: PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA",30680344313.76
31/1/15,"D - INDUSTRIA MANUFACTURERA",56128756621.37
31/1/15,"F - CONSTRUCCIÓN",36736818917.82
28/2/15,"M - ENSEÑANZA",4563018246.69
31/3/15,"O - Otras actividades de servicios comunitarios, sociales y personales",14881100332.5
31/3/15,"I - TRANSPORTE Y ALMACENAMIENTO",14496810913.16
31/3/15,"B - PESCA",99621955.16
30/4/15,"P - ACTIVIDADES DE LOS HOGARES EN CALIDAD DE EMPLEADORES, ACTIVIDADES INDIFERENCIADAS DE PRODUCCIÓN DE BIENES Y SERVICIOS DE LOS HOGARES PARA USO PROPIO",6045170450.51
31/5/15,"N - SERVICIOS SOCIALES Y RELACIONADOS CON LA SALUD HUMANA",6971598369.23
31/5/15,"I - TRANSPORTE Y ALMACENAMIENTO",12992035002.08
31/5/15,"M - ENSEÑANZA",4443059673.46
30/6/15,"I - TRANSPORTE Y ALMACENAMIENTO",13038270537.95
30/6/15,"C - EXPLOTACIÓN DE MINAS Y CANTERAS",1834945427.59
31/7/15,"O - Otras actividades de servicios comunitarios, sociales y personales",15718888272.55
31/7/15,"F - CONSTRUCCIÓN",51937310197.66
31/8/15,"D - INDUSTRIA MANUFACTURERA",55616528552.47
30/9/15,"G - COMERCIO AL POR MAYOR Y AL POR MENOR. REPARACIÓN DE LOS VEHÍCULOS DE MOTOR Y DE LAS MOTOCICLETAS",116350291945.77
30/9/15,"J - ACTIVIDADES FINANCIERAS Y DE SEGURO",38313980162.64
30/9/15,"O - Otras actividades de servicios comunitarios, sociales y personales",16354923322.36
31/10/15,"E - SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",21229286032.64
30/11/15,"G - COMERCIO AL POR MAYOR Y AL POR MENOR. REPARACIÓN DE LOS VEHÍCULOS DE MOTOR Y DE LAS MOTOCICLETAS",117235912385.52
30/11/15,"K - ACTIVIDADES INMOBILIARIAS, ALQUILER Y ACTIVIDADES EMPRESARIALES",47441679243.76
31/12/15,"Y - CONSUMO DE BIENES Y SERVICIOS",201441589335.08
31/12/15,"K - ACTIVIDADES INMOBILIARIAS, ALQUILER Y ACTIVIDADES EMPRESARIALES",45416744853.95
31/12/15,"Z - COMPRA Y REMODELACIÓN DE VIVIENDAS",139259150058.18
31/12/15,"H - ALOJAMIENTO Y SERVICIOS DE COMIDA",35500645326.26
31/12/15,"N - SERVICIOS SOCIALES Y RELACIONADOS CON LA SALUD HUMANA",8003102759.36
31/12/15,"J - ACTIVIDADES FINANCIERAS Y DE SEGURO",38897796318.52
31/12/15,"E - SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",23918408689.22
31/12/15,"B - PESCA",116456054.03
31/12/15,"F - CONSTRUCCIÓN",57001387669.7
31/1/16,"A - AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA",17280405996.91
29/2/16,"Y - CONSUMO DE BIENES Y SERVICIOS",203469495425.65
29/2/16,"G - COMERCIO AL POR MAYOR Y AL POR MENOR. REPARACIÓN DE LOS VEHÍCULOS DE MOTOR Y DE LAS MOTOCICLETAS",116602389525.6
29/2/16,"M - ENSEÑANZA",4400102708.28
31/3/16,"F - CONSTRUCCIÓN",59057924054.42
31/3/16,"I - TRANSPORTE Y ALMACENAMIENTO",16236596395.7
30/4/16,"F - CONSTRUCCIÓN",63160209764.23
30/4/16,"Q - ACTIVIDADES DE ORGANIZACIONES Y ÓRGANOS EXTRATERRITORIALES",2751381632.11
31/5/16,"G - COMERCIO AL POR MAYOR Y AL POR MENOR. REPARACIÓN DE LOS VEHÍCULOS DE MOTOR Y DE LAS MOTOCICLETAS",116002585769.65
30/6/16,"Q - ACTIVIDADES DE ORGANIZACIONES Y ÓRGANOS EXTRATERRITORIALES",2882286046.08
31/7/16,"F - CONSTRUCCIÓN",66196284961.41
31/8/16,"F - CONSTRUCCIÓN",67661046045.66
31/8/16,"M - ENSEÑANZA",4827370145.31
30/9/16,"A - AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA",17795800367.57
30/9/16,"H - ALOJAMIENTO Y SERVICIOS DE COMIDA",42501249669.02
31/10/16,"H - ALOJAMIENTO Y SERVICIOS DE COMIDA",43265401722.01
31/10/16,"B - PESCA",112509286.59
30/11/16,"D - INDUSTRIA MANUFACTURERA",59329704170.72
30/11/16,"H - ALOJAMIENTO Y SERVICIOS DE COMIDA",43811931048.55
30/11/16,"F - CONSTRUCCIÓN",70953966936.84
30/11/16,"M - ENSEÑANZA",4930310659.51
31/12/16,"C - EXPLOTACIÓN DE MINAS Y CANTERAS",2111537767.73
31/1/17,"C - EXPLOTACIÓN DE MINAS Y CANTERAS",2169745944.1
28/2/17,"K - ACTIVIDADES INMOBILIARIAS, ALQUILER Y ACTIVIDADES EMPRESARIALES",48382619912.68
31/3/17,"G - COMERCIO AL POR MAYOR Y AL POR MENOR. REPARACIÓN DE LOS VEHÍCULOS DE MOTOR Y DE LAS MOTOCICLETAS",126324132670.36
30/4/17,"K - ACTIVIDADES INMOBILIARIAS, ALQUILER Y ACTIVIDADES EMPRESARIALES",47824304313.88
30/4/17,"P - ACTIVIDADES DE LOS HOGARES EN CALIDAD DE EMPLEADORES, ACTIVIDADES INDIFERENCIADAS DE PRODUCCIÓN DE BIENES Y SERVICIOS DE LOS HOGARES PARA USO PROPIO",11568465653.7
31/5/17,"C - EXPLOTACIÓN DE MINAS Y CANTERAS",2664158829.87
30/6/17,"Q - ACTIVIDADES DE ORGANIZACIONES Y ÓRGANOS EXTRATERRITORIALES",1058744774.37
31/7/17,"F - CONSTRUCCIÓN",67348713673.07
30/9/17,"F - CONSTRUCCIÓN",70779704620.68
30/9/17,"K - ACTIVIDADES INMOBILIARIAS, ALQUILER Y ACTIVIDADES EMPRESARIALES",50795810870.18
30/9/17,"C - EXPLOTACIÓN DE MINAS Y CANTERAS",2646109343.63
30/9/17,"L - ADMINISTRACIÓN PÚBLICA Y DEFENSA: PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA",51716428288.65
31/10/17,"N - SERVICIOS SOCIALES Y RELACIONADOS CON LA SALUD HUMANA",8853747167.51
31/10/17,"I - TRANSPORTE Y ALMACENAMIENTO",18488480544.36
31/10/17,"L - ADMINISTRACIÓN PÚBLICA Y DEFENSA: PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA",53500408444.97
30/11/17,"Z - COMPRA Y REMODELACIÓN DE VIVIENDAS",169388431765.75
30/11/17,"F - CONSTRUCCIÓN",72126773541.44
31/12/17,"K - ACTIVIDADES INMOBILIARIAS, ALQUILER Y ACTIVIDADES EMPRESARIALES",51556931698.03
31/12/17,"F - CONSTRUCCIÓN",73849040025.56
31/12/17,"Q - ACTIVIDADES DE ORGANIZACIONES Y ÓRGANOS EXTRATERRITORIALES",2108960155.53
31/1/18,"L - ADMINISTRACIÓN PÚBLICA Y DEFENSA: PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA",54052313922.87
31/1/18,"F - CONSTRUCCIÓN",75080481835.75
31/1/18,"Z - COMPRA Y REMODELACIÓN DE VIVIENDAS",170937105331.08
31/1/18,"C - EXPLOTACIÓN DE MINAS Y CANTERAS",2386093480.15
28/2/18,"I - TRANSPORTE Y ALMACENAMIENTO",18749763901.46
28/2/18,"F - CONSTRUCCIÓN",75839740714.93
31/3/18,"O - Otras actividades de servicios comunitarios, sociales y personales",19543035196.18
30/4/18,"K - ACTIVIDADES INMOBILIARIAS, ALQUILER Y ACTIVIDADES EMPRESARIALES",52964538559.73
30/4/18,"H - ALOJAMIENTO Y SERVICIOS DE COMIDA",51163563073.29
31/5/18,"I - TRANSPORTE Y ALMACENAMIENTO",19487879950.82
31/5/18,"K - ACTIVIDADES INMOBILIARIAS, ALQUILER Y ACTIVIDADES EMPRESARIALES",52950884528.29
30/6/18,"K - ACTIVIDADES INMOBILIARIAS, ALQUILER Y ACTIVIDADES EMPRESARIALES",53514837418.25
30/6/18,"Z - COMPRA Y REMODELACIÓN DE VIVIENDAS",177775501364.85
30/6/18,"D - INDUSTRIA MANUFACTURERA",73896056448.17
30/6/18,"N - SERVICIOS SOCIALES Y RELACIONADOS CON LA SALUD HUMANA",10419972683.45
30/6/18,"E - SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",35958375215.53
31/7/18,"K - ACTIVIDADES INMOBILIARIAS, ALQUILER Y ACTIVIDADES EMPRESARIALES",54417670676.71
31/7/18,"Y - CONSUMO DE BIENES Y SERVICIOS",273696840074.56
31/7/18,"H - ALOJAMIENTO Y SERVICIOS DE COMIDA",53449024971.82
31/8/18,"M - ENSEÑANZA",5735030737.05
31/8/18,"E - SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",37020221178.96
30/9/18,"H - ALOJAMIENTO Y SERVICIOS DE COMIDA",53961091388.58
30/9/18,"I - TRANSPORTE Y ALMACENAMIENTO",19885261765.73
30/9/18,"F - CONSTRUCCIÓN",70473961885.52
30/9/18,"J - ACTIVIDADES FINANCIERAS Y DE SEGURO",38714335166.23
30/9/18,"Z - COMPRA Y REMODELACIÓN DE VIVIENDAS",182494641579.92
31/10/18,"J - ACTIVIDADES FINANCIERAS Y DE SEGURO",38044382629.55
30/11/18,"Y - CONSUMO DE BIENES Y SERVICIOS",290096859534.72
30/11/18,"D - INDUSTRIA MANUFACTURERA",75605998308.68
30/11/18,"H - ALOJAMIENTO Y SERVICIOS DE COMIDA",54945393184.19
31/12/18,"F - CONSTRUCCIÓN",69746213514.47
31/12/18,"L - ADMINISTRACIÓN PÚBLICA Y DEFENSA: PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA",42289737219.26
31/1/19,"K - ACTIVIDADES INMOBILIARIAS, ALQUILER Y ACTIVIDADES EMPRESARIALES",60197905708.75
31/1/19,"A - AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA",20327615479.38
28/2/19,"F - CONSTRUCCIÓN",68718147428.72
28/2/19,"P - ACTIVIDADES DE LOS HOGARES EN CALIDAD DE EMPLEADORES, ACTIVIDADES INDIFERENCIADAS DE PRODUCCIÓN DE BIENES Y SERVICIOS DE LOS HOGARES PARA USO PROPIO",7785554544.43
28/2/19,"B - PESCA",167634882.53
31/3/19,"Y - CONSUMO DE BIENES Y SERVICIOS",291373284995.57
31/3/19,"F - CONSTRUCCIÓN",70171045534.67
31/3/19,"M - ENSEÑANZA",6565209071.57
31/3/19,"B - PESCA",168408129.79
30/4/19,"D - INDUSTRIA MANUFACTURERA",82641706944.97
30/4/19,"N - SERVICIOS SOCIALES Y RELACIONADOS CON LA SALUD HUMANA",12683851509.67
30/4/19,"M - ENSEÑANZA",6756099204.63
30/4/19,"C - EXPLOTACIÓN DE MINAS Y CANTERAS",1696090621.99
31/5/19,"O - Otras actividades de servicios comunitarios, sociales y personales",19481471738.59
31/5/19,"F - CONSTRUCCIÓN",68342711597.19
31/5/19,"Q - ACTIVIDADES DE ORGANIZACIONES Y ÓRGANOS EXTRATERRITORIALES",1294879843.18
31/5/19,"Z - COMPRA Y REMODELACIÓN DE VIVIENDAS",194792739078.86
30/6/19,"G - COMERCIO AL POR MAYOR Y AL POR MENOR. REPARACIÓN DE LOS VEHÍCULOS DE MOTOR Y DE LAS MOTOCICLETAS",156979671369.32
30/6/19,"F - CONSTRUCCIÓN",66996317850.62
30/6/19,"Z - COMPRA Y REMODELACIÓN DE VIVIENDAS",198232009069.84
30/6/19,"I - TRANSPORTE Y ALMACENAMIENTO",22384368163.77
31/7/19,"A - AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA",21870806536.42
31/7/19,"H - ALOJAMIENTO Y SERVICIOS DE COMIDA",53819793743.13
31/7/19,"M - ENSEÑANZA",6345778109.44
31/7/19,"E - SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",42793223082.38
31/8/19,"O - Otras actividades de servicios comunitarios, sociales y personales",19810765917.43
31/8/19,"H - ALOJAMIENTO Y SERVICIOS DE COMIDA",52969715201.16
31/8/19,"J - ACTIVIDADES FINANCIERAS Y DE SEGURO",40806157202.38
31/10/19,"H - ALOJAMIENTO Y SERVICIOS DE COMIDA",58103677437.69
31/10/19,"D - INDUSTRIA MANUFACTURERA",84027889689.75
31/10/19,"O - Otras actividades de servicios comunitarios, sociales y personales",20576365278.84
31/10/19,"J - ACTIVIDADES FINANCIERAS Y DE SEGURO",43926005486.13
31/1/20,"E - SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",22408640327.62
29/2/20,"N - SERVICIOS SOCIALES Y RELACIONADOS CON LA SALUD HUMANA",12783563896.81
29/2/20,"H - ALOJAMIENTO Y SERVICIOS DE COMIDA",60035303611.46
29/2/20,"P - ACTIVIDADES DE LOS HOGARES EN CALIDAD DE EMPLEADORES, ACTIVIDADES INDIFERENCIADAS DE PRODUCCIÓN DE BIENES Y SERVICIOS DE LOS HOGARES PARA USO PROPIO",7790107032.22
29/2/20,"C - EXPLOTACIÓN DE MINAS Y CANTERAS",1753791101.74
31/3/20,"F - CONSTRUCCIÓN",80927735271.11
31/3/20,"M - ENSEÑANZA",6633750637.57
31/3/20,"J - ACTIVIDADES FINANCIERAS Y DE SEGURO",49144349147.57
30/4/20,"J - ACTIVIDADES FINANCIERAS Y DE SEGURO",50452718127.04
30/4/20,"M - ENSEÑANZA",6682899073.91
31/5/20,"Y - CONSUMO DE BIENES Y SERVICIOS",327925633616.45
31/5/20,"G - COMERCIO AL POR MAYOR Y AL POR MENOR. REPARACIÓN DE LOS VEHÍCULOS DE MOTOR Y DE LAS MOTOCICLETAS",172831197372.14
31/5/20,"Q - ACTIVIDADES DE ORGANIZACIONES Y ÓRGANOS EXTRATERRITORIALES",966337833.33
30/6/20,"Y - CONSUMO DE BIENES Y SERVICIOS",332452108048.19
30/6/20,"D - INDUSTRIA MANUFACTURERA",98865603674.34
30/6/20,"Z - COMPRA Y REMODELACIÓN DE VIVIENDAS",218141365374.31
30/6/20,"E - SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",36014841088.3
30/6/20,"L - ADMINISTRACIÓN PÚBLICA Y DEFENSA: PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA",32636862684.5
31/7/20,"G - COMERCIO AL POR MAYOR Y AL POR MENOR. REPARACIÓN DE LOS VEHÍCULOS DE MOTOR Y DE LAS MOTOCICLETAS",171893529905.52
31/7/20,"E - SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",38132784560.22
31/8/20,"J - ACTIVIDADES FINANCIERAS Y DE SEGURO",44651193445.57
31/8/20,"O - Otras actividades de servicios comunitarios, sociales y personales",21759321730.16
31/8/20,"Q - ACTIVIDADES DE ORGANIZACIONES Y ÓRGANOS EXTRATERRITORIALES",903833450.57
30/9/20,"M - ENSEÑANZA",6579656666.16
31/10/20,"A - AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA",24683738173.9
30/11/20,"P - ACTIVIDADES DE LOS HOGARES EN CALIDAD DE EMPLEADORES, ACTIVIDADES INDIFERENCIADAS DE PRODUCCIÓN DE BIENES Y SERVICIOS DE LOS HOGARES PARA USO PROPIO",7706846673.49
30/11/20,"M - ENSEÑANZA",6713770578.84
31/12/20,"F - CONSTRUCCIÓN",72394579093.95
31/12/20,"Q - ACTIVIDADES DE ORGANIZACIONES Y ÓRGANOS EXTRATERRITORIALES",688860401.68
31/1/21,"I - TRANSPORTE Y ALMACENAMIENTO",36504725912.67
31/1/21,"Z - COMPRA Y REMODELACIÓN DE VIVIENDAS",223944943553.8
28/2/21,"M - ENSEÑANZA",8441990938.09
28/2/21,"L - ADMINISTRACIÓN PÚBLICA Y DEFENSA: PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA",28009685611.52
31/3/21,"N - SERVICIOS SOCIALES Y RELACIONADOS CON LA SALUD HUMANA",16714551319.89
31/3/21,"B - PESCA",263449285.94
31/3/21,"H - ALOJAMIENTO Y SERVICIOS DE COMIDA",73329836227.53
31/3/21,"M - ENSEÑANZA",8398829927.13
31/3/21,"Q - ACTIVIDADES DE ORGANIZACIONES Y ÓRGANOS EXTRATERRITORIALES",618714253.56
30/4/21,"G - COMERCIO AL POR MAYOR Y AL POR MENOR. REPARACIÓN DE LOS VEHÍCULOS DE MOTOR Y DE LAS MOTOCICLETAS",169998229305.02
31/5/21,"K - ACTIVIDADES INMOBILIARIAS, ALQUILER Y ACTIVIDADES EMPRESARIALES",73094724515.54
31/5/21,"G - COMERCIO AL POR MAYOR Y AL POR MENOR. REPARACIÓN DE LOS VEHÍCULOS DE MOTOR Y DE LAS MOTOCICLETAS",174119408341.52
31/5/21,"Z - COMPRA Y REMODELACIÓN DE VIVIENDAS",232119694689.69
31/5/21,"I - TRANSPORTE Y ALMACENAMIENTO",37975384928.64
30/6/21,"E - SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",27206092825.06
30/6/21,"J - ACTIVIDADES FINANCIERAS Y DE SEGURO",66285287538.57
31/7/21,"K - ACTIVIDADES INMOBILIARIAS, ALQUILER Y ACTIVIDADES EMPRESARIALES",72232817532.81
31/7/21,"A - AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA",24648598936.54
31/7/21,"O - Otras actividades de servicios comunitarios, sociales y personales",22964696667.74
31/7/21,"P - ACTIVIDADES DE LOS HOGARES EN CALIDAD DE EMPLEADORES, ACTIVIDADES INDIFERENCIADAS DE PRODUCCIÓN DE BIENES Y SERVICIOS DE LOS HOGARES PARA USO PROPIO",8353465362.93
31/8/21,"J - ACTIVIDADES FINANCIERAS Y DE SEGURO",56630342659.2
30/9/21,"H - ALOJAMIENTO Y SERVICIOS DE COMIDA",80128556184.41
30/9/21,"O - Otras actividades de servicios comunitarios, sociales y personales",23034529759.16
30/9/21,"L - ADMINISTRACIÓN PÚBLICA Y DEFENSA: PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA",26444915392.39
30/9/21,"Z - COMPRA Y REMODELACIÓN DE VIVIENDAS",243636465550.7
31/10/21,"D - INDUSTRIA MANUFACTURERA",103636957717.17
31/10/21,"N - SERVICIOS SOCIALES Y RELACIONADOS CON LA SALUD HUMANA",17811290175.53
31/10/21,"L - ADMINISTRACIÓN PÚBLICA Y DEFENSA: PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA",26178063604.4
30/11/21,"G - COMERCIO AL POR MAYOR Y AL POR MENOR. REPARACIÓN DE LOS VEHÍCULOS DE MOTOR Y DE LAS MOTOCICLETAS",187120136284.09
30/11/21,"N - SERVICIOS SOCIALES Y RELACIONADOS CON LA SALUD HUMANA",18104565689.29
30/11/21,"L - ADMINISTRACIÓN PÚBLICA Y DEFENSA: PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA",26747318759.97
30/11/21,"Y - CONSUMO DE BIENES Y SERVICIOS",362410043176.09
28/2/22,"K - ACTIVIDADES INMOBILIARIAS, ALQUILER Y ACTIVIDADES EMPRESARIALES",78975397636.43
28/2/22,"A - AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA",25030503784.48
28/2/22,"B - PESCA",265882650.45
31/3/22,"G - COMERCIO AL POR MAYOR Y AL POR MENOR. REPARACIÓN DE LOS VEHÍCULOS DE MOTOR Y DE LAS MOTOCICLETAS",191073334033.9
30/4/22,"Z - COMPRA Y REMODELACIÓN DE VIVIENDAS",265537322994.49
30/4/22,"G - COMERCIO AL POR MAYOR Y AL POR MENOR. REPARACIÓN DE LOS VEHÍCULOS DE MOTOR Y DE LAS MOTOCICLETAS",192408861720.23
30/4/22,"K - ACTIVIDADES INMOBILIARIAS, ALQUILER Y ACTIVIDADES EMPRESARIALES",83631359546.23
30/4/22,"M - ENSEÑANZA",8464998670.87
